address,name,phone
"88 Bonita Rd               Chula Vista, CA, 91910",Chinese I Massage,619-422-0788
"253 Broadway                Chula Vista, CA, 91910",Daisy Spa,619-420-3200
"3404 Bonita Road               Chula Vista, CA, 91910",Arcadia Massage Spa,619-882-5212
"3060 Bonita Rd #201               Chula Vista, CA, 91910",Bonita Massage,619-576-3434
"645 H St #C               Chula Vista, CA, 91910",Venice Day Spa,619-420-8809
"1223 3rd Ave               Chula Vista, CA, 91911",Lucky Foot Spa,619-678-3687
"738 Otay Lakes Road               Chula Vista, CA, 91913",Massage Eden,619-216-5888
"1355 Broadway               Chula Vista, CA, 91911",Star Massage,619-691-6999
"557 Telegraph Canyon Road               Chula Vista, CA, 91910",Massage Eden,619-690-6888
"4240 Bonita Rd. Ste B               Bonita, CA, 91902",Lucky Spa,619-597-5367
"619-882-5212   3404 Bonita Road   Chula Vista, CA, 91910",Arcadia Massage Spa,
"619-882-5212   3404 Bonita Rd   Chula Vista, CA, 91910",Arcadia Massage Spa,
"619-576-3434   3060 Bonita Rd #201   Chula Vista, CA, 91910",Bonita Massage,
"7850 Golden Ave               Lemon Grove, CA, 91945",Diamod Day Spa,619-254-9606
"8083 Broadway               Lemon Grove, CA, 91945",Sunflower spa,619-313-0102
"6933 Federal Blvd               Lemon Grove, CA, 91945",L Massage,619-466-7777
"6927 North Ave               Lemon Grove, CA, 91941",Pro Massage,858-842-8508
"619-319-4739   7408 University Ave   La Mesa, CA, 91941",Queen Spa,
"619-265-8500   6786 University Ave   San Diego, CA, 92115",Oriental Chi Spa,
"619-337-2491   8931 Campo Rd   Spring Valley, CA, 91977",Maple Spa,
"903 highland ave               National City, CA, 91950",Mermaid spa,858-309-2704
"2720 E Plaza BLVD                National City, CA, 91950",King Massage,619-600-2358
"3403 East Plaza Blvd Ste B                National City, CA, 91950",Asian Foot Spa,619-371-8970
"1420 East Plaza Blvd.               National City, CA, 91950",Bay Plaza Foot Spa,619-636-5955
"2240 E Plaza Blvd, Ste K               National City, CA, 91950",Golden Massage,619-297-8888
"916 E 8th St               National City, CA, 91950",LS Massage,858-284-8584
"1615 E Plaza Blvd #202               National City, CA, 91950",Mayflower Massage,619-336-1866
"916 E 8th ST,# 8,National City CA 91950               National City, CA, 91950",Asian Japan Massage,626-328-9043
"5837 Mission Gorge Rd., Suite C                San Diego, CA, 92120",Tropical Oriental Spa,619-563-0993
"6315 Beadnell way               San Diego, CA, 92117",Asian Spa,858-371-8277
"4961 DIANE AVE               San Diego, CA, 92117",Bay Spa,858-334-3368
"4535 30th St #117               San Diego, CA, 92116",Healing Touch Lounge,619-320-8503
"5380 Clairemont Mesa Blvd #101               San Diego, CA, 92111",Massage Magic,858-616-7616
"4747 Oceanside Blvd.               San Diego, CA, 92056",Asian Massage,760-798-6994
"2801 Camino Del Rio N               San Diego, CA, 92108",Exotic Touch,619-548-6889
"Hillcrest  at downtown               San Diego, CA, 92111",Massage Taylor,619-512-2851
"557 Telegraph Canyon Rd               Chula Vista, CA, 91910",Massage Eden,619-656-9888
"401 H St, Ste 7               Chula Vista, CA, 91910",Rest A Tranquility Spa,619-271-8940
"1735 Eastlake Parkway Ste 105               Chula Vista, CA, 91910",Massage Eden,619-656-6888
"220 Broadway                Chula Vista, CA, 91910",Shanghai Foot Spa,619-426-3333
"960 Broadway, Suite A                 Chula Vista, CA, 91911",Kiku Spa,619-425-9449
"645 H St #B               Chula Vista, CA, 91910",Viva Spa,619-422-1369
"345 3rd Ave               Chula Vista, CA, 91910",Chun Tzu Massage & Bodywork,619-426-1111
"7825 Engineer Rd, Suite 107               San Diego, CA, 92111",New Asian Massage,858-999-5057
"10650 Scripps Ranch Blvd               San Diego, CA, 92024",Ana's Acupuncture And Massage,619-519-6565
"3755 Murphy Canyon Rd, #A               San Diego, CA, 92123",JC Day Spa,858-560-8166
"4239 El Cajon Blvd               San Diego, CA, 92105",Luxury Massage,619-255-2365
"4907 Morena Blvd Suite 1405               San Diego, CA, 92117",Best Chinese Massage,858-272-3398
"4764 Convoy St, Suite A               San Diego, CA, 92111",Lucky Foot Massage,858-268-3888
"Balboa Av               San Diego, CA, 92111",Exquisite Healing Touch,858-568-2458
"2855 El Cajon Blvd               San Diego, CA, 92104",Lucky Thai Massage,619-501-9515
"2504 State St #100               San Diego, CA, 92101",L Spa,619-231-2777
"2103 University Ave               San Diego, CA, 92104",New Spa,619-296-4988
"6320 Mission Gorge Rd               San Diego, CA, 92120",MG Spa,619-646-8648
"8898 Clairmont Mesa Blvd  Suite B               San Diego, CA, 92123",Good Asian Massage,858-333-2515
"3817 University Avenue                San Diego, CA, 92105",Oriental Garden Massage,619-285-1600
"8250 Vickers St., Suite G                San Diego, CA, 92111",Golden Day Spa,858-560-1332
"4609 Cass St                San Diego, CA, 92109",Eva Oriental Spa,858-273-7512
